event_id,timestamp,user,host,command_line,detection_rule,severity
E000024,2026-04-10 23:34:54,k.mehta,WIN-029,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000037,2026-06-16 15:52:34,svc_app,WIN-026,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000095,2026-04-20 22:08:06,admin.ops,WIN-005,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000153,2026-02-08 02:59:38,a.kumar,WIN-006,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000171,2026-06-19 19:57:57,k.mehta,WIN-008,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000275,2026-06-30 09:04:08,n.gupta,WIN-007,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000321,2026-05-29 02:52:57,svc_app,WIN-015,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000417,2026-02-22 04:43:14,r.verma,WIN-022,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000461,2026-05-16 01:39:23,svc_backup,WIN-025,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000489,2026-03-27 01:08:27,r.verma,WIN-026,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000518,2026-01-20 16:56:53,svc_app,WIN-003,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000548,2026-04-09 22:37:33,k.mehta,WIN-020,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000558,2026-05-23 10:58:34,p.singh,WIN-026,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000561,2026-01-13 10:11:05,r.verma,WIN-015,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000579,2026-04-23 20:19:59,svc_app,WIN-032,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000600,2026-01-24 02:24:17,admin.ops,WIN-025,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000620,2026-04-11 12:24:55,admin.ops,WIN-040,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000640,2026-06-03 17:07:19,svc_backup,WIN-031,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000716,2026-06-20 08:44:36,s.rao,WIN-025,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000766,2026-04-17 05:12:09,admin.ops,WIN-007,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000799,2026-02-10 12:16:46,r.verma,WIN-036,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000826,2026-06-01 12:18:23,p.singh,WIN-006,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000920,2026-05-12 22:55:04,s.rao,WIN-037,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000936,2026-03-12 09:54:25,s.rao,WIN-007,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000941,2026-06-23 05:28:56,d.patel,WIN-033,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000950,2026-04-05 12:14:43,n.gupta,WIN-023,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E000992,2026-06-30 21:47:49,k.mehta,WIN-014,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001007,2026-06-09 16:25:04,svc_app,WIN-010,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001011,2026-06-20 01:42:38,r.verma,WIN-026,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001038,2026-04-24 10:57:11,s.rao,WIN-036,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001052,2026-03-17 12:40:27,s.rao,WIN-016,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001064,2026-05-25 03:55:32,d.patel,WIN-018,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001085,2026-05-27 04:12:36,d.patel,WIN-012,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001106,2026-02-03 03:21:23,n.gupta,WIN-025,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001121,2026-06-30 14:40:13,m.sharma,WIN-040,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001147,2026-05-16 01:34:27,r.verma,WIN-017,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001148,2026-04-28 18:28:44,j.smith,WIN-009,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001226,2026-01-21 00:28:35,svc_app,WIN-032,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001230,2026-06-02 10:13:11,svc_app,WIN-014,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001234,2026-06-12 12:54:14,n.gupta,WIN-038,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001277,2026-04-22 13:27:18,svc_app,WIN-005,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001307,2026-04-03 00:00:19,svc_app,WIN-011,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001312,2026-02-10 16:00:10,svc_backup,WIN-024,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001318,2026-02-21 22:31:55,svc_app,WIN-011,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001371,2026-06-07 14:26:03,j.smith,WIN-020,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001373,2026-05-09 15:34:06,n.gupta,WIN-040,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001397,2026-02-04 23:46:38,d.patel,WIN-012,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001440,2026-03-15 21:17:24,n.gupta,WIN-038,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001458,2026-04-18 23:53:04,svc_backup,WIN-011,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001486,2026-04-02 03:12:22,admin.ops,WIN-028,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001508,2026-01-15 03:38:50,n.gupta,WIN-035,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001517,2026-04-17 07:55:08,a.kumar,WIN-040,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001526,2026-03-25 12:21:14,svc_backup,WIN-025,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001548,2026-02-02 23:59:55,s.rao,WIN-010,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001584,2026-02-02 03:11:38,svc_app,WIN-027,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001591,2026-02-26 19:53:45,svc_app,WIN-040,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001630,2026-04-27 18:17:44,p.singh,WIN-013,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001750,2026-02-17 16:40:16,admin.ops,WIN-008,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001764,2026-04-03 01:52:04,r.verma,WIN-025,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001792,2026-05-22 14:35:06,j.smith,WIN-006,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001929,2026-02-22 04:57:26,m.sharma,WIN-038,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001932,2026-04-08 02:22:11,d.patel,WIN-031,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001967,2026-04-08 00:27:22,k.mehta,WIN-022,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E001983,2026-05-07 18:32:14,r.verma,WIN-008,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002010,2026-03-09 07:03:12,admin.ops,WIN-011,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002022,2026-01-03 05:08:09,m.sharma,WIN-009,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002102,2026-04-22 09:19:40,m.sharma,WIN-023,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002126,2026-05-29 13:44:16,svc_backup,WIN-034,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002183,2026-06-10 19:16:17,s.rao,WIN-015,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002250,2026-05-03 03:11:39,admin.ops,WIN-038,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002281,2026-01-21 12:47:06,svc_app,WIN-022,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002286,2026-05-17 04:43:08,k.mehta,WIN-025,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002288,2026-06-04 01:05:41,svc_app,WIN-010,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002297,2026-04-23 00:24:56,svc_app,WIN-007,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002302,2026-01-25 02:48:01,a.kumar,WIN-030,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002306,2026-01-10 21:04:14,j.smith,WIN-007,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002325,2026-02-25 14:23:48,svc_app,WIN-001,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002418,2026-03-29 08:22:13,r.verma,WIN-020,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002441,2026-02-07 15:44:14,m.sharma,WIN-016,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002456,2026-02-17 02:16:48,admin.ops,WIN-037,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002467,2026-03-10 10:45:22,p.singh,WIN-033,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002486,2026-05-30 02:08:08,svc_app,WIN-001,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002501,2026-06-14 02:59:59,m.sharma,WIN-031,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002549,2026-01-16 11:45:22,svc_app,WIN-015,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002603,2026-01-16 10:24:57,m.sharma,WIN-032,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
