event_id,timestamp,user_id,user,department,host,source_ip,country,login_status,authentication_method
A000001,2026-05-05 03:56:41,u002,j.smith,Finance,WIN-002,10.10.0.64,India,Success,Password
A000002,2026-01-28 02:17:37,u012,d.patel,Operations,WIN-007,10.10.0.141,India,Success,Password
A000003,2026-04-25 15:53:40,u007,p.singh,Operations,WIN-003,10.10.0.57,India,Success,Password
A000004,2026-04-09 03:07:34,u010,svc_backup,IT,WIN-002,10.10.0.185,India,Success,SSO
A000005,2026-05-17 04:24:40,u009,k.mehta,Engineering,WIN-027,10.10.0.152,India,Success,MFA
A000006,2026-06-07 04:13:09,u001,admin.ops,IT,WIN-011,10.10.0.89,India,Success,MFA
A000007,2026-01-31 04:35:13,u004,m.sharma,HR,WIN-022,10.10.0.99,India,Failure,Password
A000008,2026-03-11 16:57:54,u006,s.rao,Sales,WIN-039,10.10.0.13,India,Success,SSO
A000009,2026-03-31 05:04:30,u009,k.mehta,Engineering,WIN-008,185.10.0.50,Singapore,Success,SSO
A000010,2026-02-26 22:18:35,u011,svc_app,IT,WIN-040,185.10.0.48,UAE,Success,Password
A000011,2026-05-17 19:32:33,u002,j.smith,Finance,WIN-003,10.10.0.199,India,Failure,MFA
A000012,2026-01-16 11:51:27,u004,m.sharma,HR,WIN-007,10.10.0.118,India,Success,SSO
A000013,2026-06-11 23:14:10,u006,s.rao,Sales,WIN-011,10.10.0.55,India,Success,SSO
A000014,2026-02-21 20:12:24,u012,d.patel,Operations,WIN-005,10.10.0.45,India,Success,SSO
A000015,2026-05-22 13:58:37,u004,m.sharma,HR,WIN-011,10.10.0.71,India,Success,SSO
A000016,2026-05-14 15:04:01,u009,k.mehta,Engineering,WIN-015,10.10.0.198,India,Success,Password
A000017,2026-02-14 11:26:28,u001,admin.ops,IT,WIN-021,10.10.0.18,India,Success,Password
A000018,2026-06-27 07:31:21,u010,svc_backup,IT,WIN-021,10.10.0.129,India,Success,MFA
A000019,2026-06-21 18:55:20,u011,svc_app,IT,WIN-030,10.10.0.37,India,Success,Password
A000020,2026-05-25 15:54:01,u009,k.mehta,Engineering,WIN-035,10.10.0.151,India,Success,MFA
A000021,2026-06-24 08:09:28,u010,svc_backup,IT,WIN-026,10.10.0.37,India,Success,SSO
A000022,2026-04-06 19:57:01,u002,j.smith,Finance,WIN-004,10.10.0.41,India,Success,SSO
A000023,2026-02-01 01:34:12,u011,svc_app,IT,WIN-028,10.10.0.100,India,Success,MFA
A000024,2026-04-26 17:02:28,u008,n.gupta,Finance,WIN-034,10.10.0.143,India,Success,Password
A000025,2026-05-13 02:21:01,u012,d.patel,Operations,WIN-008,10.10.0.139,India,Success,MFA
A000026,2026-05-30 05:55:46,u011,svc_app,IT,WIN-022,10.10.0.113,India,Success,Password
