event_id,timestamp,user_id,user,host,process,parent_process,command_line,severity
E000001,2026-04-27 18:04:30,u010,svc_backup,WIN-009,svchost.exe,explorer.exe,svchost.exe,Low
E000002,2026-02-18 13:57:23,u007,p.singh,WIN-022,teams.exe,svchost.exe,teams.exe,Low
E000003,2026-03-25 12:19:50,u004,m.sharma,WIN-037,svchost.exe,explorer.exe,svchost.exe,Low
E000004,2026-02-05 04:01:16,u005,r.verma,WIN-035,excel.exe,explorer.exe,excel.exe,Low
E000005,2026-05-20 02:43:29,u010,svc_backup,WIN-031,explorer.exe,explorer.exe,explorer.exe,Low
E000006,2026-05-30 03:28:03,u007,p.singh,WIN-034,teams.exe,explorer.exe,teams.exe,Low
E000007,2026-05-11 02:15:34,u005,r.verma,WIN-030,python.exe,svchost.exe,python.exe,Low
E000008,2026-02-26 05:22:26,u004,m.sharma,WIN-007,explorer.exe,winword.exe,explorer.exe,Low
E000009,2026-02-26 15:01:44,u008,n.gupta,WIN-016,teams.exe,winword.exe,teams.exe,Low
E000010,2026-06-29 02:59:38,u009,k.mehta,WIN-033,chrome.exe,svchost.exe,chrome.exe,Low
E000011,2026-01-21 02:34:37,u003,a.kumar,WIN-027,outlook.exe,svchost.exe,outlook.exe,Low
E000012,2026-06-08 04:25:52,u011,svc_app,WIN-001,excel.exe,svchost.exe,excel.exe,Low
E000013,2026-01-08 04:58:51,u001,admin.ops,WIN-029,excel.exe,outlook.exe,excel.exe,Low
E000014,2026-04-11 16:27:47,u006,s.rao,WIN-007,chrome.exe,explorer.exe,chrome.exe,Low
E000015,2026-03-29 23:00:36,u011,svc_app,WIN-021,outlook.exe,winword.exe,outlook.exe,Low
E000016,2026-06-16 07:00:43,u008,n.gupta,WIN-025,teams.exe,services.exe,teams.exe,Low
E000017,2026-02-26 23:43:21,u003,a.kumar,WIN-025,python.exe,explorer.exe,python.exe,Low
E000018,2026-02-17 09:31:53,u006,s.rao,WIN-037,outlook.exe,explorer.exe,outlook.exe,Low
E000019,2026-01-11 07:07:04,u002,j.smith,WIN-018,outlook.exe,outlook.exe,outlook.exe,Low
E000020,2026-02-02 21:35:47,u001,admin.ops,WIN-015,teams.exe,svchost.exe,teams.exe,Low
E000021,2026-01-30 00:00:07,u010,svc_backup,WIN-011,winword.exe,outlook.exe,winword.exe,Low
E000022,2026-03-27 23:17:15,u002,j.smith,WIN-026,explorer.exe,explorer.exe,explorer.exe,Low
E000023,2026-02-11 12:41:39,u001,admin.ops,WIN-017,powershell.exe,explorer.exe,powershell.exe -Command Get-Service,Medium
