event_id,timestamp,source_ip,destination_ip,protocol,destination_port,action,bytes_out
F000001,2026-01-03 10:04:59,10.10.0.127,10.10.0.178,UDP,3389,ALLOW,8578
F000002,2026-04-15 09:19:50,10.10.0.113,10.10.0.88,UDP,53,DENY,219505
F000003,2026-06-25 23:34:40,10.10.0.57,10.10.0.131,UDP,1433,ALLOW,22377
F000004,2026-05-24 14:14:44,10.10.0.190,10.10.0.149,TCP,443,DENY,97387
F000005,2026-03-06 18:37:03,10.10.0.56,10.10.0.156,UDP,445,ALLOW,209006
F000006,2026-03-07 08:55:23,10.10.0.92,10.10.0.12,TCP,1433,ALLOW,40040
F000007,2026-06-23 21:02:01,10.10.0.60,185.10.0.85,TCP,80,ALLOW,34679
F000008,2026-06-29 11:14:23,10.10.0.102,10.10.0.43,UDP,443,ALLOW,49029
F000009,2026-05-07 18:56:06,10.10.0.23,185.10.0.99,TCP,3389,ALLOW,60865
F000010,2026-04-06 06:16:47,10.10.0.59,10.10.0.75,TCP,8443,ALLOW,119696
F000011,2026-03-01 17:23:39,10.10.0.99,10.10.0.116,UDP,3389,ALLOW,29309
F000012,2026-02-27 03:09:20,10.10.0.38,185.10.0.75,UDP,445,ALLOW,37809
F000013,2026-06-08 04:59:20,10.10.0.135,185.10.0.14,UDP,443,ALLOW,19617
F000014,2026-02-04 09:52:28,10.10.0.15,10.10.0.109,TCP,80,ALLOW,19505
F000015,2026-04-12 23:57:01,10.10.0.59,10.10.0.81,UDP,80,ALLOW,13137
F000016,2026-01-12 18:10:09,10.10.0.81,185.10.0.114,TCP,445,ALLOW,21137
F000017,2026-06-20 05:22:51,10.10.0.37,185.10.0.46,TCP,445,ALLOW,11516
F000018,2026-02-01 01:33:16,10.10.0.99,10.10.0.182,UDP,3389,ALLOW,102498
F000019,2026-04-30 19:50:14,10.10.0.48,10.10.0.136,TCP,3389,ALLOW,77100
F000020,2026-02-02 03:16:26,10.10.0.62,10.10.0.128,TCP,53,ALLOW,32057
F000021,2026-04-09 14:11:02,10.10.0.27,185.10.0.60,UDP,3389,ALLOW,47505
F000022,2026-05-20 23:03:34,10.10.0.139,10.10.0.14,TCP,3389,ALLOW,13154
F000023,2026-02-19 03:48:00,10.10.0.62,185.10.0.66,TCP,1433,ALLOW,34497
F000024,2026-04-02 23:48:05,10.10.0.59,185.10.0.51,TCP,445,ALLOW,142420
F000025,2026-04-24 20:18:55,10.10.0.148,10.10.0.134,UDP,445,ALLOW,135989
F000026,2026-01-18 16:42:19,10.10.0.138,10.10.0.35,TCP,443,ALLOW,241793
F000027,2026-02-27 12:20:26,10.10.0.196,10.10.0.21,TCP,8080,ALLOW,102184
F000028,2026-06-21 13:41:26,10.10.0.20,10.10.0.147,TCP,8080,ALLOW,52719
F000029,2026-02-15 02:53:11,10.10.0.57,10.10.0.181,UDP,445,ALLOW,95425
F000030,2026-02-06 17:26:04,10.10.0.187,10.10.0.128,TCP,8443,DENY,9297
F000031,2026-02-02 18:32:34,10.10.0.198,10.10.0.166,UDP,3389,ALLOW,86575
F000032,2026-05-27 14:13:26,10.10.0.194,185.10.0.2,UDP,443,ALLOW,106796
F000033,2026-05-03 09:41:27,10.10.0.142,10.10.0.63,TCP,445,ALLOW,33835
F000034,2026-06-15 23:22:24,10.10.0.167,10.10.0.182,UDP,8443,ALLOW,38424
F000035,2026-05-09 23:10:52,10.10.0.30,185.10.0.87,UDP,22,ALLOW,26395
F000036,2026-06-27 17:19:58,10.10.0.66,185.10.0.91,TCP,80,ALLOW,32649
F000037,2026-05-26 22:20:46,10.10.0.171,10.10.0.98,UDP,3306,ALLOW,44214
